0,1,2024-01-01,NO_QUERY,user1,I hate this terrible service and the app is broken
0,2,2024-01-02,NO_QUERY,user2,"This is awful and frustrating, I am so upset"
0,3,2024-01-03,NO_QUERY,user3,"Bad experience, poor quality and very disappointing"
0,4,2024-01-04,NO_QUERY,user4,"Worst day ever, I feel angry and annoyed"
0,5,2024-01-05,NO_QUERY,user5,This product is useless and I am extremely unhappy
1,6,2024-01-06,NO_QUERY,user6,I love this amazing service and it works perfectly
1,7,2024-01-07,NO_QUERY,user7,"This is fantastic and so helpful, I am very happy"
1,8,2024-01-08,NO_QUERY,user8,"Excellent experience, really good product and full of joy"
1,9,2024-01-09,NO_QUERY,user9,"Wonderful and positive, I feel great and satisfied"
1,10,2024-01-10,NO_QUERY,user10,"Amazing quality and very pleasant, I totally recommend it"
0,11,2024-01-11,NO_QUERY,user11,"Terrible, no support, and the product is extremely bad"
1,12,2024-01-12,NO_QUERY,user12,"Great experience, really lovely and very efficient"
0,13,2024-01-13,NO_QUERY,user13,I dislike this scam and it is making me angry
1,14,2024-01-14,NO_QUERY,user14,"Really nice, this is impressive and enjoyable"
0,15,2024-01-15,NO_QUERY,user15,Very poor quality and I am disappointed by the service
1,16,2024-01-16,NO_QUERY,user16,I am thrilled with this outstanding service and support
0,17,2024-01-17,NO_QUERY,user17,"Awful, broken, and frustrating beyond words"
1,18,2024-01-18,NO_QUERY,user18,"Love it, absolutely excellent and worth every penny"
0,19,2024-01-19,NO_QUERY,user19,This is a nightmare and I hate the experience
1,20,2024-01-20,NO_QUERY,user20,"Everything is perfect, smooth, and wonderful"
